V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,class
0.482972981,0.007858328,0.036914402,0.03042411,0.058976274,0.097551731,0.281610293,0.157660275,0.033530434,0.063176979,0.124890314,0.258003378,0.71503797,3.512114134,0.72567275,0.504510251,0m
0.307241176,0.141883959,0.143640954,0.152734745,0.14097413,0.161124136,0.23797577,0.268605768,0.236565699,0.254658105,0.346116222,0.469547352,0.947543537,3.285366702,0.4417441,0.176789258,0m
0.402829617,0.109247293,0.081941572,0.10400937,0.102851207,0.122257767,0.232318669,0.168580341,0.148128357,0.177435129,0.230545413,0.370686041,0.830503491,3.427234579,0.630771074,0.395665723,0m
0.338868234,0.111193763,0.122455914,0.113146633,0.144972465,0.14800454,0.283258485,0.019390005,0.126890504,0.173141517,0.244244746,0.368876934,0.84514502,3.411309971,0.609048769,0.393961942,0m
0.178749098,0.098659103,0.097953192,0.117015732,0.114533953,0.101034439,0.029596939,0.2850231,0.242830517,0.266295345,0.313958319,0.456677981,0.940541724,3.297258994,0.497503535,0.23202894,0m
0.443868314,0.005352288,0.008508229,0.027584858,0.047395922,0.039689555,0.149009013,0.09796462,0.082270894,0.115447036,0.177516792,0.282875099,0.762544311,3.485523964,0.715420682,0.486686982,0m
0.228431609,0.157748156,0.167697849,0.156737717,0.18366469,0.200309709,0.258457529,0.169635842,0.192233036,0.256673258,0.321773702,0.473825639,0.965519281,3.24393489,0.439926928,0.156688237,0m
0.387247853,0.046015944,0.048129911,0.053249327,0.061254242,0.037319785,0.009795183,0.202472467,0.169827942,0.192479223,0.229699754,0.354605188,0.857008692,3.457429832,0.67185322,0.436352158,0m
0.381996675,0.094593526,0.089871919,0.100777085,0.082217487,0.089546717,0.139388706,0.253102188,0.19622775,0.235679411,0.284968424,0.411122224,0.926376222,3.438854269,0.590056187,0.348363951,0m
0.370823651,0.144518498,0.133210136,0.139421794,0.153574842,0.177950138,0.324624507,0.182875576,0.179502785,0.235253993,0.2823519,0.417693063,0.929306703,3.373825234,0.561891301,0.308038817,0m
